name,latitude,longitude,color
Baoan [peh],35.5,102,#45A494
Barai [bbb],-9.417,148,#625EA1
Baram [brd],27.95,85,#45A494
Barang-barang [lji],-6.4,120.5,#CD857F
Barasano [bsn],-0.25,-70.75,#407778
Bardi [bcj],-16.58,122.92,#6862AB
Bari [bfa],3.8,31,#BA7D72
Barupu [wra],-3.083,142.083,#BA679A
Bashkir [bak],53,58,#27974E
Basque [eus],43.2,-3,#407778
Batuley [bay],-5.8,134.75,#BA679A
Bawm [bgr],22.5,92.25,#45A494
Begak [dbj-2],5.25,118.833,#CD857F
Beja [bej],18,36,#425991
Belarussian [bel],54,27,#668D13
Belhare [byw],27,87.25,#425991
Bemba [bem],-11,31,#BC5B5B
Bembe [bmb],-4,14,#BC5B5B
Bende [bdp],-6,30.5,#BC5B5B
Bengali [ben],22.5,90,#27974E
Berik [bkl],-2.25,138.92,#625EA1
Betta_Kurumba [xub],11.58,76.55,#407778
Bhojpuri [bho],26.8,85.3,#27974E
Biak [bhw],-1,136,#BA679A
Bih [rad-2],12.48,108.025,#DDD483
Bijago [bjg],11.28,-15.83,#BC5B5B
Bikol [bcl],13.333,123.5,#CD857F
Biloxi [bll],32.25,-90,#673CA3
Bilua [blb],-7.75,156.667,#7D4884
Binandere [bhg],-8.167,147.917,#625EA1
Bininj Gun-Wok [gup],-12.5,133.75,#7D4884
Biri [bzr],-20.5,146.5,#53A0A8
Blackfoot [bla],50,-112.67,#7D4884
Blang [blr],23.3,100,#DDD483
Bobongko [bgb],-0.5,121.75,#CD857F
Bokar [adi-2],29,94.35,#45A494
Bontok [bnc],17.083,120.917,#CD857F
Bouyei_west [pcc-2],25.75,107.333,#DDD483
Brag-g.yab [khg-2],30.65,97.55,#37C1A0
Brahui [brh],29,67,#27974E
Brao [brb],14,107,#DDD483
Breton [bre],48,-3.5,#8C542B
Bribri [bzd],9.5,-83,#8C9CA1
Brokpa [sgt],27.33,92,#37C1A0
Bugan [bbh],23.75,105,#DDD483
Bugis [bug],-4,120,#CD857F
Bugun [bgn],27.3,92.35,#45A494
Buin [buo],-6.75,155.833,#625EA1
Bukiyip_Arapesh [ape],-3.667,142.5,#BA7D72
Bularnu [yil],-21.5,137.5,#53A0A8
Bulgarian [bul],43,25,#668D13
Bumbita_Arapesh [aon],-3.667,142.833,#BA679A
Bumthang [kjz],27.8,90.8,#37C1A0
Bumthang_Ura [kjz-2],27.48,90.905,#37C1A0
Bunan [bfu],32.61,76.91,#45A494
Bunaq [bfn],-9.1,125.15,#BA679A
Bunun [bnn],23.5,121,#CD857F
Burarra [bvr],-12.25,134.667,#6862AB
Burmese [mya],20,96,#45A494
Burmese_Myeik [mya-2],12.43,98.6,#91CC88
Buru [mhs],-3.5,126.5,#BA7D72
Burushaski [bsk],36.5,74.5,#407778
Buryat [bxm],52,108,#27974E
Buyang [yha],24,104.8,#DDD483
Buyuan Jino [jiy],22.05,101,#91CC88
Byansi [bee],30.17,80.5,#45A494
Caddo [cad],33.33,-93.5,#673CA3
Cahuilla [chl],33.75,-117.75,#7D4884
Cakchiquel [ckf],14.5,-91,#99415A
Camling [rab],27.3,86.8,#425991
Campa [cni],-12,-74,#7D4884
Canela-Krahô [ram],-6.5,-45,#BA679A
Cantonese [yue],22.333,114,#91CC88
Capanahua [kaq],-7,-74,#407778
Car [caq],9.167,92.75,#CD857F
Carib [car],7.85,-59,#7D4884
Catalan [cat],41.4,2.3,#668D13
Cayuvava [cyb],-12.5,-67,#99415A
Cebuano [ceb],10,124,#CD857F
Chadong [cdy],25.2,110.2,#91CC88
Cham_Eastern [cjm],11.333,108.5,#DDD483
Cham_Western [cja],12,105.5,#DDD483
Chamorro [cha],13.583,145,#CD857F
Chantyal [chx],28.75,83.5,#37C1A0
Chechen [che],43.13,45.54,#407778
Chemehuevi [ute-3],34.33,-115.17,#407778
Chepang [cdm],28.05,83.92,#45A494
Cherokee [chr],35.5,-83.5,#7D4884
Chickasaw [cic],34,-88,#673CA3
Chimariko [cid],41,-123,#673CA3
Chin_Daai [dao],21.1,93.65,#45A494
Chin_Falam [cfm],22.9,93.67,#45A494
Chin_Tiddim [ctd],23.333,93.667,#91CC88
Chinook [chh],46,-124,#99415A
ChiNyanja [nya],-15,35,#BC5B5B
Chiricahua [apm],33.5,-108,#7D4884
Chitimacha [ctm],29.67,-91,#673CA3
Chittagong [ben-2],22.37,91.8,#27974E
Chöcangacakha [cgk],27.5,90.88,#37C1A0
Choctaw [cho],32.25,-88.5,#673CA3
Cholon [cht],-8,-77.5,#673CA3
Chontal [chd],18.17,-92.58,#99415A
Chrau [crw],10.667,107.5,#DDD483
Chukchi [ckt],67,-173,#407778
Chumash [boi],34.67,-120.25,#7D4884
Chuvash [chv],55.5,47.5,#407778
CiLuba [lua],-6,22,#BC5B5B
Classical Malay [xxx-96],2.2,102.5,#CD857F
Coahuilteco [xxx-6],28,-100,#673CA3
Cocopa [coc],32.5,-115,#673CA3
Coeur d'Alene [crd],47.33,-117,#99415A
Cogtse Gyarong [jya],32.1,100.9,#425991
Comanche [com],33.5,-101.5,#407778
Comox [coo],49.75,-125,#99415A
Coos [csz],43.5,-124.17,#99415A
Cora [crn],23.333,-99,#7D4884
Cornish [cor],50.5,-4.5,#668D13
Cree_Plains [crk],54,-116,#7D4884
Cree_Woods [cwd],58,-102,#7D4884
Creek [mus],30.41,-85.2,#673CA3
Crow [cro],45.5,-108,#673CA3
Cua [cua],15.167,108.667,#DDD483
Cubeo [cub],1.33,-70.5,#407778
Cupeño [cup],33.17,-116.5,#407778
Czech [ces],50,14.5,#668D13
Dadua [gal-2],-8.135,125.638,#BA7D72
Daga [dgz],-10,149.25,#625EA1
Dagaare [dga],11.5,-2.5,#BA7D72
Dagur [dta],48,124,#27974E
Dakpa [dka],27.75,91.5,#37C1A0
Damal [uhn],-4,137.5,#625EA1
Damar_West [drn],-7,128.5,#BA679A
Dameli [dml],35.375,71.693,#27974E
Damin [xxx-7],-16.4,139.35,#53A0A8
Dani [dni],-4,138.917,#625EA1
Danish [dan],56,10,#668D13
Darai [dry],27.85,84.1,#27974E
Darma [drd],29.84,80.517,#45A494
Dekwana [mch],4.5,-63.5,#673CA3
Denaina [tfn],62,-150,#673CA3
Denjongkha [sip],27.5,88.5,#45A494
Dhao [nfa],-10.83,122.75,#BA7D72
Dharawal [tbh],-34.5,150.5,#53A0A8
Dharuk [xxx-8],-33.1,151.75,#6862AB
Dharumbal [bjy],-22.75,150,#53A0A8
Dhimal [dhi],26.6,86.75,#45A494
Didinga [did],4.33,33.6,#BA7D72
Diegueño [dih],32.67,-116.17,#625EA1
Digaru Mishmi [mhu],28.2,96.2,#45A494
Dimasa [dis],25.33,93,#45A494
Dime [dim],6.25,36.33,#45A494
Dimili [diq],38,40,#27974E
Dingri [bod-4],28.567,86.633,#37C1A0
Diola [dyo],13,-16,#BC5B5B
Diyari [dif],-28,139,#53A0A8
Djabugay [dyy],-16.65,145.5,#53A0A8
Djambarrpuyngu [djr],-12,135.5,#53A0A8
Djapu [duj],-12.667,136,#53A0A8
Djaru [ddj],-18.75,128,#53A0A8
Djinang [dji],-12.5,134.833,#53A0A8
Djingili [jig],-17.25,133.833,#6862AB
Dobel [kvo],-6.083,134.5,#BA679A
Dogon [dbu],14.5,-2.5,#625EA1
Dohoi [otd],-0.5,113,#BA7D72
Dolpo [dre],29,83,#37C1A0
Dom [doa],-6,144.917,#625EA1
Dong [doc],26,109,#DDD483
Dongwang [khg],28.25,99.55,#37C1A0
Doutai [tds],-3.25,138.25,#8C9CA1
Doyayo [dow],8.67,13.08,#BA679A
Drehu [dhv],-21,167.083,#BA7D72
Drokpa [bod-5],29.05,84.5,#37C1A0
Dulong [duu],28,98.333,#45A494
Dumaki [dmk],36.167,74,#27974E
Dumi [dus],27.25,86.67,#45A494
Dumo [vam],-2.667,141.25,#BA679A
Dura [drq],28.5,84.25,#45A494
Dutch [nld],52,7,#668D13
Dyirbal [dbl],-17.583,145.5,#53A0A8
Dzongkha [dzo],27.5,89.5,#37C1A0
Edolo [etr],-6.083,142.667,#625EA1
Ejagham [etu],5.6,9,#BA7D72
Ekagi [ekg],-3.917,136.25,#625EA1
Elopi [dbf],-3.083,137.333,#8C9CA1
Embaloh [emb],1.1628,112.37,#CD857F
Embera_Baudo [bdc],5.2,-76.8,#45A494
Enggano [eno],-5.333,102.25,#CD857F
English [eng],52,0,#668D13
Erzgebirgisch [nds-3],50.58,13,#668D13
Estonian [est],59,25,#668D13
Eton [eto],4,11.5,#BC5B5B
Even [eve],68,130,#407778
Evenki [evn],56,125,#407778
Ewe [ewe],6,1,#BA7D72
Eyak [eya],60.5,-145,#7D4884
Fang [fan],0.5,11,#BC5B5B
Faroese [fao],61.5,-7,#668D13
Farsi [pes],32,54,#8C542B
Fasu [faa],-6.417,143.167,#625EA1
Fijian [fij],-18,178.333,#CD857F
Finnish [fin],62,25,#668D13
Fordata [frd],-7.17,131.5,#BA679A
Fore [for],-6.75,145.5,#425991
French [fra],48,3,#668D13
Frisian [frs],53.2,5.76,#668D13
Fula [fuh],11.5,-12.5,#BC5B5B
Fulniô [fun],-8.2,-37.3,#425991
Fur [fvr],13,25,#45A494
Futuna_West [fut-2],-19.667,170.667,#CD857F
Fuyuge [fuy],-8.667,147.333,#625EA1
Fuzhou [cdo],26.5,119,#91CC88
Ga'anda [gqa],10.33,12.58,#BA7D72
Gaagudju [gbu],-12.583,132.833,#6862AB
Gaahmg [tbi-2],11.767,34.35,#BA7D72
Gabigabi [xxx-11],-25.5,153,#53A0A8
Gadsup [gaj],-6.333,146,#407778
Gahuku [gah],-6.083,145.4,#425991
Galela [gbi],2,128.417,#BA679A
Galo [adi],28,94.75,#45A494
Galolen [gal],-8.58,126,#BA679A
Gamilaraay [kld-2],-31,149.5,#53A0A8
Garawa [gbc],-17.25,137.667,#6862AB
Garo [grt],26,90,#45A494
Gathang [kda],-32,152.5,#53A0A8
Gayo [gay],4.55,96.95,#CD857F
Gbaya-Kara [gya],6,15,#BA7D72
Gbaya-Mbodomo [mdo],4.5,15,#BA7D72
Gbeya_Bossangoa [gbp],6.67,17.5,#BA7D72
Gelao [gio],22.92,105.5,#DDD483
Georgian [kat],41.72,44.78,#407778
German [deu],50,10,#668D13
German_Swiss [gsw],46.975,8.405,#668D13
Ghale [ghe],28.25,84.9,#37C1A0
Gikuyu [kik],-0.75,36.75,#BC5B5B
Gitksan [git],55.33,-127.75,#99415A
Gojri [gju],33,76,#27974E
Golden Palaung [pll],22.97,97.17,#DDD483
Golin [gvf],-6.25,144.833,#625EA1
Gondi [gno],19,84.6,#27974E
Gooniyandi [gni],-18.5,126.6,#6862AB
Gorontalo [gor],0.5,122,#CD857F
Gorum [pcj],18.5,82.833,#425991
Grebo [gry],5.3,-8,#BA7D72
Greek [ell],38,23,#668D13
Green_Hmong [hnj],28,105,#DDD483
Greenlandic [kal],61,-48,#425991
Gtaq [gaq],18.633,83.5,#425991
Gtob [gbj],18.583,82.867,#425991
Guajajara [gub],-5,-45,#7D4884
Guajira [guc],12,-72,#7D4884
Guarani [gug],-23,-56,#7D4884
Gubeeher [bcb],12.5,-16.5,#BA7D72
Gujarati [guj],23,72,#27974E
Gumbaynggir [kgs],-30.4,152.5,#53A0A8
Gününa Yajich [xxx-41],-38,-62.5,#425991
Gureng Gureng [gnr],-25.25,151,#53A0A8
Gurr-goni [gge],-12.25,134.417,#6862AB
Gurung [gvr],28.333,84.333,#37C1A0
Guugu Yimidhirr [kky],-15,144.833,#53A0A8
Haa Zongkha [dzo-2],27.135,89.12,#37C1A0
Haida [hdn],53,-132,#7D4884
Hajong [haj],26.2,90.5,#45A494
Hakha_Lai [cnh],22.667,93.667,#91CC88
Hakka [hak],24.25,116.5,#91CC88
Halkomelem [hur],49.5,-122.5,#99415A
Hanga_Hundi [wos],-3.833,142.833,#407778
Hangzhou [wuu-2],30.25,120.167,#91CC88
Harsusi [hss],19.7,55.85,#8C542B
Hatam [had],-1,134,#BA679A
Hausa [hau],12,7,#BA7D72
Hawaiian [haw],21,-157,#CD857F
Hayu [vay],27.25,86,#407778
Hebrew [heb],31.75,35.17,#8C542B
Helong [heg],-10.25,123.67,#BA679A
Herero [her],-21,20,#BC5B5B
Hidatsa [hid],48,-110,#673CA3
Hiligaynon [hil],10.25,123,#CD857F
Hill_Madia [mrr],18.9,81.35,#407778
Hindi [hin],27,80,#27974E
Hiw [hiw],-13.25,166.5,#BA679A
Hixkaryana [hix],1.5,-60,#7D4884
Hkongso [mro],21.5,93,#91CC88
Hlai [lic],19.05,109.9,#DDD483
Hlersu [hle],24.05,101.975,#91CC88
Hmar [hmr],25,92.2,#37C1A0
Ho [hoc],22,86,#425991
Hobyot [hoh],16.21,52.2,#8C542B
Holoholo [hoo],-5.5,28.25,#BC5B5B
Hopi [hop],36,-110,#425991
Hresuk [adb],-8.22,125.61,#DDD483
Hua [ygr],-6.333,145.3,#425991
Huastec [hsf],22.08,-99.33,#99415A
Huichol [hch],22,-104,#425991
Hungarian [hun],47,19,#668D13
Hunzib [huz],42.16,46.23,#27974E
Hup [jup],0.167,-69.25,#407778
Hupa [hup],41.08,-123.67,#7D4884
I’saka [ksi],-2.9,141.4,#BA679A
Iaai [iai],-20.417,166.417,#CD857F
Iatmul [ian],-4.25,143.25,#407778
Iau [tmu],-3.167,138,#8C9CA1
Iban [iba],2,112,#DDD483
Icelandic [isl],65,-19,#668D13
Idu Mishmi [clk],29,96,#45A494
Ifugao_Batad [ifb],16.833,121.083,#CD857F
Igbo [ibo],6,7.33,#BA7D72
Iha [ihp],-2.8,132.35,#625EA1
Ik [ikx],3.75,34.17,#BA7D72
Ika [arh],10.75,-73.5,#425991
Ilokano [ilo],16,121,#CD857F
Imonda [imn],-3.25,141.167,#625EA1
Inanwatan [szp],-2.17,132,#625EA1
Indonesian [ind],-2.5,104.75,#CD857F
Ingush [inh],42.97,44.77,#27974E
Iñupiaq [esi],68.13,-151.72,#425991
Irabu_Ryukyu [mvi-3],24.833,125.183,#45A494
Iraqw [irk],-3.5,35,#BA7D72
Irarutu [irh],-3,133.5,#BA679A
Irish [gle],53,-7,#8C542B
Irula [iru],11,77,#27974E
Italian [ita],43,14,#668D13
Itelmen [itl],57,157.5,#407778
Ivatan_Southern [ivv],20.33,121.83,#CD857F
Izi [izi],6.332,8.104,#DDD483
Jacaltec [jac],15.75,-91.75,#99415A
Jahai [jhi],5.9,101.5,#CD857F
Jambi Malay [jax],-1.75,103,#CD857F
Jaminjung [djd],-15.083,130.5,#6862AB
Jamul Tiipay [dih-2],32.17,-116.5,#7D4884
Japanese [jpn],37,140,#45A494
Jaqaru [jqr],-12.85,-76,#407778
Javanese [jav],-7.5,110.667,#CD857F
Jebero [jeb],-5.2,-76.4,#7D4884
Jero [jee],27.2,86.25,#45A494
Jiaomuzu [qxs-2],32,102.03,#45A494
Jibbali [shv],17.2,54.9,#8C542B
Jingpho [kac],28,98,#91CC88
Jirel [jul],27.65,86.23,#45A494
Jivaro [jiv],-3,-78.25,#407778
Jomang [tlo],10.58,30.5,#BA7D72
Jru [lbo],15.333,106.333,#DDD483
Ju|'hoan [ktz],-19,21,#BA7D72
Juang [jun],21.167,85.833,#425991
Juba_Arabic [apd-2],4.85,31.6,#DDD483
Kabardian [kbd],43.52,43.63,#425991
Kabyle [kab],36.5,5,#8C542B
Kadazan [kzj],5.917,117.167,#CD857F
Kaera [xxx-111],-8.38,124.21,#BA679A
Kagoshima [jpn-5],31.6,130.55,#45A494
Kaike [kzq],28.9,83.17,#45A494
Kairiru [kxa],-3.417,143.583,#BA679A
Kakua [cbv],1.08,-70,#425991
Kala Lagaw Ya [mwp],-10.12,142.12,#45A494
Kalam [kmh],-5.25,144.583,#625EA1
Kalami [gwc],35.48,72.59,#27974E
Kalasha [kls],35.73,71.75,#27974E
Kalkatungu [ktg],-21,139.5,#6862AB
Kalkoti [xka],21.91,78.72,#27974E
Kalmyk [xal],45,47,#27974E
Kamang [woi],-8.25,124.833,#BA679A
Kamba [kam],-2,38,#BC5B5B
Kambera [xbr],-9.833,120.5,#CD857F
Kambran [bed],-2.78,132.7,#BA679A
Kamoro [kgq],-4.333,136,#625EA1
Kanakuru [kna],10,12,#BA7D72
Kanashi [xns],32,77.55,#27974E
Kangri [xnr],31.5,77,#27974E
Kannada [kan],14,76,#27974E
Kanoê [kxo],-12.5,-62.25,#673CA3
Kanum [kcd],-8.583,140.75,#407778
Kanuri [knc],11.25,14.25,#425991
Kapampangan [pam],15.333,120.5,#CD857F
Kapau [hmt],-7.667,146.167,#625EA1
Karachay-Balkar [krc],44,42,#27974E
Karaim [kdr],54.63,24.93,#668D13
Karajarri [gbd],-18.5,122.5,#53A0A8
Karakalpak [kaa],43,60,#27974E
Karas Laut [kgv],-3.6,132.667,#625EA1
Karbi [mjw],26.2,93.5,#45A494
Karen [bwe],17,98,#DDD483
Karen_Geba [kvq],19.02,96.58,#DDD483
Karen_Pho [pwo],14.333,98.3,#DDD483
Karen_Pho_Kyonbyaw [pwo-3],17.6,95.2,#DDD483
Karen_Sgaw [ksw],17,94.833,#DDD483
Karo_Batak [btx],3,98.167,#CD857F
Karok [kyh],41.67,-123,#673CA3
Kashmiri [kas],34,76,#27974E
Kate [kmg],-6.5,147.833,#625EA1
Katu [ktv],15.833,107.583,#DDD483
Kaugel [ubu],-5.95,144.167,#625EA1
Kaulong [pss],-6.25,150.5,#BA679A
Kaure [bpp],-3.333,139.333,#625EA1
Kawaiisu [xaw],36,-117.5,#7D4884
Kayah_Li [eky],19,98,#91CC88
Kayardild [gyd],-17.05,139.5,#53A0A8
Kazakh [kaz],50,70,#27974E
Kedang [ksx],-8.25,123.75,#BA7D72
Kei [kei],-5.67,133.08,#BA7D72
Kéo [xxk],-8.83,121.25,#DDD483
Kera [ker],9.83,15.08,#BA7D72
Keraq [unr-2],24,85.2,#407778
Kerinci [kvr],-2.15,101.5,#CD857F
Kesui [wah],-4.5,131.667,#BA679A
Ket [ket],64,87,#7D4884
Keuw [khh],-3.2,136.2,#8C9CA1
Kewa [kew],-6.333,143.75,#625EA1
Khakas [kjh],53,90,#27974E
Khalaj [klj],35,50,#27974E
Khaling [klr],27.6,86.7,#45A494
Khalkha [khk],47,105,#27974E
Kham [kgj],28.5,82.75,#45A494
Khanty [kca],65,65,#407778
Kharia [khr],22.5,83.5,#407778
Khasi [kha],26,92,#BA7D72
Khengkha [xkf],27.28,90.75,#37C1A0
Khmer [khm],12,105,#DDD483
Khmu [kjg],19,100.75,#DDD483
Khowar [khw],36.5,72.5,#27974E
Kija [gia],-17.5,127.75,#6862AB
Kilivila [kij],-8.5,151,#BA679A
Kiluba [lub],-8.5,26,#BC5B5B
Kimaama [kig],-8,139.583,#8C9CA1
Kinnauri [kfk],31.5,78.25,#27974E
KinyaRwanda [kin],-2,30,#BC5B5B
Kiowa [kio],37,-99,#7D4884
Kirghiz [kir],42,75,#27974E
Kiribati [gil],1.333,173,#CD857F
Kisi [kss],8.83,-10.17,#BA7D72
Kitanemuk [xxx-43],34.5,-117.5,#7D4884
Klamath [kla],42.5,-121.5,#407778
Klon [kyo],-8.417,124.417,#BA679A
Koasati [cku],34.83,-85.17,#673CA3
Kobon [kpw],-5.167,144.417,#625EA1
Kodagu [kfa],13.08,76.42,#27974E
Koiwai [kwh],-4,134,#BA679A
Kokborok [trp],24.33,92.5,#45A494
Kokota [kkk],-8,159.25,#CD857F
Kola [kvv],-5.42,134.5,#BA679A
Kolami [kfb],20,78.5,#27974E
Kolana [kvw],-8.3,125.133,#BA679A
Kolokuma [ijc],4.92,5.67,#425991
Komo [xom],9,33.75,#BA7D72
Komodo [knh],-8.5,119.5,#CD857F
Kongo [kng],-5,15,#BA7D72
Konjo [kjc],-5.333,119.833,#CD857F
Konkani [knn],15.25,74.4,#27974E
Konso [kxc],5.4,37.5,#BA7D72
Korana [kqz],-26,22,#407778
Korean [kor],37,128,#407778
Korku [kfq],25,78.5,#27974E
Koro [hru-2],27.25,92.8,#45A494
Koromfe [kfz],14.25,-0.92,#BA7D72
Korowai [khe],-5.417,140.25,#625EA1
Kosraean [kos],5.3,163,#BA7D72
Koya [kff],17.5,81.333,#27974E
Koyi [kkt],27.4,86.9,#425991
Koyra Chiini [khq],16.75,3.5,#BA7D72
Kpelle [xpe],7,-10,#BA7D72
Krongo [kgo],10.5,30,#BA7D72
Ku Waru [xxx-14],-6,144.15,#625EA1
Kuanua [ksd],-4.4,152.167,#CD857F
Kui [kvd],-8.583,124.75,#BA679A
Kui [kxu],20,83.5,#27974E
Kukatj [xxx-38],-17.95,140.8,#53A0A8
Kuke [ght],28.531,84.846,#45A494
Kuku Nganhcara [wua],-14.8,141.9,#53A0A8
Kuku Yalanji [gvn],-16,145,#53A0A8
Kuman [kue],-5.917,144.917,#625EA1
Kumauni [kfy],30,80,#27974E
Kumzari [zum],26,56.3,#BA7D72
Kunama [kun],14.5,37,#425991
Kundal_Shahi [shd],34.55,73.84,#27974E
Kunjen [kjn],-16.5,142,#53A0A8
Kuot [kto],-3.083,151.5,#BA7D72
Kupang Malay [mkn],-10.18,123.58,#DDD483
Kurdish [kmr],36,44,#8C542B
Kurtöp [xkz],27.83,91,#37C1A0
Kurux [kxl],26.5,87.35,#407778
Kusunda [kgg],28.33,83.1,#45A494
Kutenai [kut],49.5,-116,#99415A
Kuuk Thaayorre [thd],-14,142.25,#53A0A8
Kuuku-Ya'u [kuy],-12.583,143.083,#53A0A8
Kuvi [kxv],18.75,82.667,#27974E
Kwaio [kwd],-8.917,161.083,#BA679A
Kwangari [kwn],-18.5,20,#BC5B5B
Kwaza [xwa],-12,-60.5,#673CA3
Kwerba [kwe],-2.167,138.5,#625EA1
Kwini [gww],-14.333,126.75,#6862AB
Kyirong_Tibetan [bod-3],28.4,85.2,#37C1A0
Laal [gdm],10,17.67,#BC5B5B
Lachi [lbt],23.123,104.703,#DDD483
Ladakhi [lbj],34,78,#45A494
Laguna [kjq],35.25,-107.33,#7D4884
Lahu [lhu],20.75,100.75,#91CC88
Lak [lbe],42.17,47.11,#407778
Lakhota [lkt],45,-102,#7D4884
Lakkia [lbc],24.08,110.17,#DDD483
Lamaholot [slp],-8.25,123,#BA7D72
Lamani [lmn],18,77,#27974E
Lamba [lam],9.8,10.5,#BC5B5B
Lamjung Yohlmo [scp-2],28.33,84.42,#37C1A0
Lampung [ljp],-5,105,#CD857F
Lango [laj],2,33,#BA7D72
Lani [dnw],-3.75,138.2,#625EA1
Lao [lao],19,103,#DDD483
Larantuka Malay [lrt],-8.33,123,#DDD483
Lardil [lbz],-16.5,139.5,#53A0A8
Larike [alo],-3.783,127.917,#BA679A
Latvian [lav],56.8,24.1,#668D13
Lavukaleve [lvk],-9,159,#625EA1
Lele [lln],9.08,15.58,#BA7D72
