name,latitude,longitude,color,family,country
Basque [eus],43.2,-3,#4C7368,Basque,Spain
Batuley [bay],-5.8,134.75,#D56991,Austronesian,Indonesia
Bawm [bgr],22.5,92.25,#7A95B4,Tibeto-Burman,India
Begak [dbj-2],5.25,118.833,#CA8A72,Austronesian,Malaysia
Beja [bej],18,36,#346460,Afro-Asiatic,Sudan
Belarussian [bel],54,27,#4B980D,Indo-European,Belarus
Belhare [byw],27,87.25,#2247B2,Tibeto-Burman,Nepal
Bemba [bem],-11,31,#B35474,Niger-Kongo,Zambia
Bembe [bmb],-4,14,#C95078,Niger-Kongo,Democratic Republic of the Congo
Bende [bdp],-6,30.5,#C6467E,Niger-Kongo,Tanzania
Bengali [ben],22.5,90,#30A84D,Indo-European,Bangladesh
Berik [bkl],-2.25,138.92,#4F7CA2,Trans New Guinea,Indonesia
Betta_Kurumba [xub],11.58,76.55,#0E7892,Dravidian,India
Bhojpuri [bho],26.8,85.3,#2B9839,Indo-European,India
Biak [bhw],-1,136,#D072AD,Austronesian,Indonesia
Bih [rad-2],12.48,108.025,#E6CC86,Austronesian,Vietnam
Bijago [bjg],11.28,-15.83,#AE3B85,Niger-Kongo,Guinea Bissau
Bikol [bcl],13.333,123.5,#CB7F70,Austronesian,Philippines
Biloxi [bll],32.25,-90,#6137EC,Siouan,USA
Bilua [blb],-7.75,156.667,#984B5F,Solomons East Papuan,Solomons
Binandere [bhg],-8.167,147.917,#50AAAF,Trans New Guinea,Papua New Guinea
Bininj Gun-Wok [gup],-12.5,133.75,#922771,Gunwinyku,Australia
Biri [bzr],-20.5,146.5,#3DA861,Pama-Nyungan,Australia
Blackfoot [bla],50,-112.67,#861494,Algic,Canada
Blang [blr],23.3,100,#E4C29A,Austroasiatic,China
Bobongko [bgb],-0.5,121.75,#DB847D,Austronesian,Indonesia
Bokar [adi-2],29,94.35,#56C89F,Tibeto-Burman,India
Bontok [bnc],17.083,120.917,#C77E3D,Austronesian,Philippines
Bouyei_west [pcc-2],25.75,107.333,#E7D39A,Tai-Kadai,China
Brag-g.yab [khg-2],30.65,97.55,#2EB596,Tibeto-Burman,China
Brahui [brh],29,67,#3B8469,Dravidian,Pakistan
Brao [brb],14,107,#F7F692,Austroasiatic,Vietnam
Breton [bre],48,-3.5,#93580F,Indo-European,France
Bribri [bzd],9.5,-83,#8EABA9,Chibchan,Costa Rica
Brokpa [sgt],27.33,92,#339AB5,Tibeto-Burman,Bhutan
Bugan [bbh],23.75,105,#D8B696,Austroasiatic,China
Bugis [bug],-4,120,#DD7E57,Austronesian,Indonesia
Bugun [bgn],27.3,92.35,#40B19D,Kho-Bwa,India
Buin [buo],-6.75,155.833,#483E8B,East Bougainville,Papua New Guinea
Bukiyip_Arapesh [ape],-3.667,142.5,#B56382,Torricelli,Papua New Guinea
Bularnu [yil],-21.5,137.5,#3ABF5E,Pama-Nyungan,Australia
Bulgarian [bul],43,25,#6B8F13,Indo-European,Bulgaria
Bumbita_Arapesh [aon],-3.667,142.833,#C15D9F,Torricelli,Papua New Guinea
Bumthang [kjz],27.8,90.8,#3FBBB2,Tibeto-Burman,Bhutan
Bumthang_Ura [kjz-2],27.48,90.905,#3BACBB,Tibeto-Burman,Bhutan
Bunan [bfu],32.61,76.91,#35888D,Tibeto-Burman,India
Bunaq [bfn],-9.1,125.15,#B96ED3,Timor-Alor-Pantar,Indonesia
Bunun [bnn],23.5,121,#DD7868,Austronesian,Taiwan
Burarra [bvr],-12.25,134.667,#7B4495,Maningrida,Australia
Burmese [mya],20,96,#64B5AC,Tibeto-Burman,Myanmar
Burmese_Myeik [mya-2],12.43,98.6,#60CC89,Tibeto-Burman,Myanmar
Buru [mhs],-3.5,126.5,#D5B5AD,Austronesian,Indonesia
Burushaski [bsk],36.5,74.5,#254F64,Burushaski,Pakistan
Buryat [bxm],52,108,#0F8460,Mongolic,Russia
Buyang [yha],24,104.8,#E1CE9D,Tai-Kadai,China
Buyuan Jino [jiy],22.05,101,#7DDBB8,Tibeto-Burman,China
Byansi [bee],30.17,80.5,#329A79,Tibeto-Burman,India
Caddo [cad],33.33,-93.5,#5B24B8,Caddoan,USA
Cahuilla [chl],33.75,-117.75,#454271,Uto-Aztecan,USA
Cakchiquel [ckf],14.5,-91,#9F4D39,Mayan,Guatemala
Camling [rab],27.3,86.8,#2F4DAF,Tibeto-Burman,Nepal
Campa [cni],-12,-74,#83596F,Arawak,Peru
Canela-Krahô [ram],-6.5,-45,#A17DA6,Macro-Je,Brazil
Cantonese [yue],22.333,114,#A8D181,Tibeto-Burman,China
Capanahua [kaq],-7,-74,#2C7086,Panoan,Peru
Car [caq],9.167,92.75,#AEAD3C,Austroasiatic,India
Carib [car],7.85,-59,#613C87,Cariban,Guyana
Catalan [cat],41.4,2.3,#7D9619,Indo-European,Spain
Cayuvava [cyb],-12.5,-67,#CC395E,Cayuvava,Bolivia
Cebuano [ceb],10,124,#BD7D4A,Austronesian,Philippines
Chadong [cdy],25.2,110.2,#C7DF9B,Tai-Kadai,China
Cham_Eastern [cjm],11.333,108.5,#E8DFAA,Austronesian,Vietnam
Cham_Western [cja],12,105.5,#F1E5A9,Austronesian,Cambodia
Chamorro [cha],13.583,145,#C96C40,Austronesian,Guam
Chantyal [chx],28.75,83.5,#28C191,Tibeto-Burman,Nepal
Chechen [che],43.13,45.54,#208376,Nakh-Daghestanian,Russia
Chemehuevi [ute-3],34.33,-115.17,#3F7363,Uto-Aztecan,USA
Chepang [cdm],28.05,83.92,#2F8F98,Tibeto-Burman,Nepal
Cherokee [chr],35.5,-83.5,#793D8E,Iroquoian,USA
Chickasaw [cic],34,-88,#7241D4,Muskogean,USA
Chimariko [cid],41,-123,#513BA9,Chimariko,USA
Chin_Daai [dao],21.1,93.65,#6E92A7,Tibeto-Burman,Myanmar
Chin_Falam [cfm],22.9,93.67,#557392,Tibeto-Burman,Myanmar
Chin_Tiddim [ctd],23.333,93.667,#8CA6CE,Tibeto-Burman,Myanmar
Chinook [chh],46,-124,#9E3650,Chinook,USA
ChiNyanja [nya],-15,35,#D84B77,Niger-Kongo,Malawi
Chiricahua [apm],33.5,-108,#8523B2,Dene-Yeniseic,USA
Chitimacha [ctm],29.67,-91,#5659B7,Totozoquean-Chitimacha,USA
Chittagong [ben-2],22.37,91.8,#29C349,Indo-European,Bangladesh
Chöcangacakha [cgk],27.5,90.88,#3DB6B1,Tibeto-Burman,Bhutan
Choctaw [cho],32.25,-88.5,#6A49C2,Muskogean,USA
Cholon [cht],-8,-77.5,#5F439C,Cholon,Peru
Chontal [chd],18.17,-92.58,#996224,Mayan,Mexico
Chrau [crw],10.667,107.5,#E3D283,Austroasiatic,Vietnam
Chukchi [ckt],67,-173,#4F7E69,Chukotko-Kamchatkan,Russia
Chumash [boi],34.67,-120.25,#9F3F7B,Chumash,USA
Chuvash [chv],55.5,47.5,#0D9074,Turkic,Russia
CiLuba [lua],-6,22,#D43879,Niger-Kongo,Democratic Republic of the Congo
Classical Malay [xxx-96],2.2,102.5,#DD9647,Austronesian,Malaysia
Coahuilteco [xxx-6],28,-100,#6133B8,Coahuilteco,USA
Cocopa [coc],32.5,-115,#4E29C2,Yuman-Cochimi,USA
Coeur d'Alene [crd],47.33,-117,#9B3C72,Salish,USA
Cogtse Gyarong [jya],32.1,100.9,#54619F,Tibeto-Burman,China
Comanche [com],33.5,-101.5,#486D61,Uto-Aztecan,USA
Comox [coo],49.75,-125,#8B3349,Salish,Canada
Coos [csz],43.5,-124.17,#72464C,Coos,USA
Cora [crn],23.333,-99,#6C354E,Uto-Aztecan,Mexico
Cornish [cor],50.5,-4.5,#A0813E,Indo-European,Britain
Cree_Plains [crk],54,-116,#9A3371,Algic,Canada
Cree_Woods [cwd],58,-102,#873372,Algic,Canada
Creek [mus],30.41,-85.2,#4F27BD,Muskogean,USA
Crow [cro],45.5,-108,#7723D0,Siouan,USA
Cua [cua],15.167,108.667,#EAFA85,Austroasiatic,Vietnam
Cubeo [cub],1.33,-70.5,#295670,Tucanoan,Colombia
Cupeño [cup],33.17,-116.5,#254878,Uto-Aztecan,USA
Czech [ces],50,14.5,#488D3A,Indo-European,Czech Republic
Dadua [gal-2],-8.135,125.638,#D1748C,Austronesian,Timor leste
Daga [dgz],-10,149.25,#80699D,Trans New Guinea,Papua New Guinea
Dagaare [dga],11.5,-2.5,#BDB091,Niger-Kongo,Burkina Faso
Dagur [dta],48,124,#40A462,Mongolic,China
Dakpa [dka],27.75,91.5,#37B8AF,Tibeto-Burman,Bhutan
Damal [uhn],-4,137.5,#3E5DC6,Damal,Indonesia
Damar_West [drn],-7,128.5,#BB5D8E,Austronesian,Indonesia
Dameli [dml],35.375,71.693,#288958,Indo-European,Pakistan
Damin [xxx-7],-16.4,139.35,#5EA26B,Tangkic,Australia
Dani [dni],-4,138.917,#504CC9,Trans New Guinea,Indonesia
Danish [dan],56,10,#75B42B,Indo-European,Denmark
Darai [dry],27.85,84.1,#2D905C,Indo-European,Nepal
