Language_name	Family_name	subfamily_name	genus_name	status	color	latitude	longitude
Toba	Guaicuruan			definitely endangered	#4CFF00	-24.40253	-60.4472866667
Tobanga	Afro-Asiatic			unknown/safe	#FF0600	9.8289	16.209
Tobagonian Creole English	Indo-European			unknown/safe	#00FF13	11.2388	-60.6791
Tobelo	North Halmahera			unknown/safe	#0032FF	1.0946	128.154
Tobian	Austronesian			critically endangered	#FF5E00	7.03081	134.263
Tobilung	Austronesian			unknown/safe	#FF5E00	6.56097	116.67
Tocantins Asurini	Tupian		Tupi-Guaraní	vulnerable	#FF00BD	-3.59359	-49.8991
Tocho	Narrow Talodi			severely endangered	#0052FF	10.8828	30.1567
Toda	Dravidian			critically endangered	#B7FF00	11.4184	77.0168
Todrah	Austroasiatic			unknown/safe	#FF5800	14.5672	108.114
Tofanma	Namla-Tofanma			vulnerable	#0058FF	-3.74322	140.591
Tofin Gbe	Atlantic-Congo			unknown/safe	#FF5200	6.51774	2.43226
Togbo-Vara Banda	Atlantic-Congo			unknown/safe	#FF5200	6.35815	22.7362
Togoyo	Atlantic-Congo			extinct	#FF5200	8.6629	25.9756
Tohono O'odham	Uto-Aztecan		Tepiman	definitely endangered	#FF008B	31.7973	-111.995
Tojolabal	Mayan			unknown/safe	#00AAFF	16.2572	-91.7825
Tokano	Nuclear Trans New Guinea			unknown/safe	#0013FF	-6.05047	145.298
Tokelau	Austronesian			severely endangered	#FF5E00	-9.227642	-171.780833
Tok Pisin	Indo-European			unknown/safe	#00FF13	-9.41971	147.303
Toku-No-Shima	Japonic			definitely endangered	#00FF26	27.7736	128.961
Tolaki	Austronesian			unknown/safe	#FF5E00	-4.03577	121.888
Tol	Jicaquean			critically endangered	#00FF39	14.6686	-87.0372
Tolomako	Austronesian			definitely endangered	#FF5E00	-15.1569	166.772
Tolowa-Chetco	Athapaskan-Eyak-Tlingit			critically endangered	#FF4C00	41.9192	-124.1
Toma	Mande			unknown/safe	#00D0FF	8.20383	-9.23439
Tomadino	Austronesian			definitely endangered	#FF5E00	-2.56493	121.944
Tombulu	Austronesian			unknown/safe	#FF5E00	1.39715	124.754
Tombonuo	Austronesian			unknown/safe	#FF5E00	6.2892	117.322
Tombelala	Austronesian			vulnerable	#FF5E00	-2.50998	121.915
Tomini	Austronesian			vulnerable	#FF5E00	0.42569	120.89
Tomo Kan Dogon	Dogon			unknown/safe	#C3FF00	13.6331	-3.82228
Tomoip	Austronesian			unknown/safe	#FF5E00	-5.30721	151.828
Tondi Songway Kiini	Songhay			unknown/safe	#A400FF	15.262989	-2.816163
Tondano	Austronesian			unknown/safe	#FF5E00	1.28024	124.964
Maniq	Austroasiatic			definitely endangered	#FF5800	6.88137	100.102
Tonga (Zambia)	Atlantic-Congo			unknown/safe	#FF5200	-17.422325	27.103495
Tongwe	Atlantic-Congo			unknown/safe	#FF5200	-6.43051	30.0807
Tonga (Nyasa)	Atlantic-Congo			unknown/safe	#FF5200	-12.0816	34.0613
Tonga (Tonga Islands)	Austronesian			unknown/safe	#FF5E00	-21.17	-175.25
Tonjon	Mande			extinct	#00D0FF	8.357	-4.40666
Tonsawang	Austronesian			critically endangered	#FF5E00	1.0539	124.652
