name,latitude,longitude,color,family,subgroup,country
Saanich [str-4],48.59,-123.38,#923A4D,Salish,Coast,Canada
Kven [fkv],69.27,19.96,#5DA71F,Uralic,Finnic,Norway
Suyá [suy-2],-11.431967,-53.185075,#687ABF,Macro-Je,Je,Brazil
Parkateje [xxx-19],-5.25,-48.9166,#6D6DC0,Macro-Je,NA,Brazil
Moré [ite],-12.3,-64.98,#9D715E,Chapacura,More-Waric,Bolivia
Juruna [jur],-5.5,-53,#8F75A9,Tupian,Juruna,Brazil
Tapirapé [taf],-10.2567,-51.014352,#8849BE,Tupian,Tupi-Guarani,Brazil
Kono [knu],7.85,-8.26,#8653A3,Mande,Central-West,Liberia
Bayso [bsw-3],6.28,37.76,#43905F,Afro-Asiatic,Cushitic,Somalia
Ts'ixa [xxx-158],-19.18,24,#4EA075,Khoe,Khoe,South Africa
Ulwa [yla],-4.4,143.99,#7888AB,Yuat,NA,Papua New Guinea
Yaruro [yae-2],7.563,-67.422,#4E916A,Yaruro,NA,Venezuela
Akie [oki],-5.43,37.19,#80447E,Nilo-Saharan,Nilotic,Kenya
Mungbam [mij],6.58,10.23,#D4977F,Niger-Kongo,Atlantic-Congo,Cameroon
Chinantec_Lealao [cle],17.32,-95.93,#B13355,Otomanguean,Chinantec,Mexico
Yana [ynn],40.5,-122,#462E92,Yana,NA,USA
Wayampi_Alto_Jarí [oym],2.5,-53.1569,#7F51A9,Tupian,Tupi-Guarani,French Guiana
Iraya [iry],13.442,120.572,#A9B471,Malayo-Polynesian,Philippines,Philippines
Lopit [lpx],4.8,33,#914169,Nilo-Saharan,Nilotic,Sudan
