Language_name	Family_name	subfamily_name	genus_name	status	dot_color	label_color	latitude	longitude
Akuntsu	Tupian			unknown/safe	#A9A9A9	#A9A9A9	-12.8322	-60.9716
Akurio	Cariban			critically endangered	#FF6500	#FF6500	3.19607	-55.6294
Akwa	Atlantic-Congo			unknown/safe	#A9A9A9	#A9A9A9	-0.39897	15.4623
Alabama	Muskogean		Muskogean	definitely endangered	#EDED21	#EDED21	30.76738	-94.62848
Alabat Island Agta	Austronesian			critically endangered	#FF6500	#FF6500	14.1217	122.014
Alaba-K'abeena	Afro-Asiatic			unknown/safe	#A9A9A9	#A9A9A9	7.39014	38.1732
Alacalufe-Austral	Kawesqar			extinct	#FF0000	#FF0000	-54.788017	-70.140381
Alacalufe-Central	Kawesqar			extinct	#FF0000	#FF0000	-53.435719	-71.04126
Alacatlatzala Mixtec	Otomanguean		Mixtecan	unknown/safe	#A9A9A9	#A9A9A9	17.4944	-98.4674
Alago	Atlantic-Congo			unknown/safe	#A9A9A9	#A9A9A9	8.34986	8.52085
Alagwa	Afro-Asiatic	Cushitic	Southern Cushitic	unknown/safe	#A9A9A9	#A9A9A9	-4.64148	35.7231
Alak	Austroasiatic			unknown/safe	#A9A9A9	#A9A9A9	15.5565	106.597
Alamblak	Sepik		Sepik Hill	unknown/safe	#A9A9A9	#A9A9A9	-4.66307	143.316
Alangan	Austronesian			unknown/safe	#A9A9A9	#A9A9A9	13.0982	121.022
Alapmunte	Unattested			extinct	#FF0000	#FF0000	-12.329886	-59.996702
Alawa	Mangarrayi-Maran			critically endangered	#FF6500	#FF6500	-15.5458	134.282
Inland-Buhi-Daraga Bikol	Austronesian			unknown/safe	#A9A9A9	#A9A9A9	13.1989	123.49
Alcozauca Mixtec	Otomanguean			unknown/safe	#A9A9A9	#A9A9A9	17.3687	-98.3969
Alege	Atlantic-Congo			unknown/safe	#A9A9A9	#A9A9A9	6.59423	9.00394
