name,latitude,longitude,color,family,subgroup,country
Khanty_Eastern_Vakh [kca-5],62,80,#7C7FBC,Uralic,Khantyic,Russia
Khanty_Northern_Berjozov [kca-12],63.94,65.05,#7C7FBC,Uralic,Khantyic,Russia
Khanty_Northern_Kazym [kca-9],63.7,67.24,#7C7FBC,Uralic,Khantyic,Russia
Khanty_Northern_Nizyam [kca-10],52.8,76.5,#7C7FBC,Uralic,Khantyic,Russia
Khanty_Northern_Obdorsk [kca-13],65.06,65.275,#7C7FBC,Uralic,Khantyic,Russia
Khanty_Northern_Sherkal [kca-11],62.75,65.48,#7C7FBC,Uralic,Khantyic,Russia
Khanty_Surgut [kca-4],61.26,73.4,#7C7FBC,Uralic,Khantyic,Russia
Khanty_Surgut_Agan [kca-7],61.64,75.09,#7C7FBC,Uralic,Khantyic,Russia
Khanty_Surgut_Pim [kca-8],61.29,72,#7C7FBC,Uralic,Khantyic,Russia
Khanty_Surgut_Tremjugan [kca-6],61.675,74.31,#7C7FBC,Uralic,Khantyic,Russia
Kharia [khr],22.5,83.5,#AA877A,Austroasiatic,Munda,India
Khasi [kha],26,92,#9A5792,Austroasiatic,Khasi-Palaung,India
Khensen Mongsen Ao [njo],26.34,94.49,#9B7173,Tibeto-Burman,Kuki-Chin-Naga,India
Khmer [khm],12.05,105.02,#B0615D,Austroasiatic,Khmer,Cambodia
Khmer_Northern [kxm-3],13.69,101.07,#B0615D,Austroasiatic,Khmer,Thailand
Khmer_Surin [kxm],15,103.75,#A9765C,Austroasiatic,Khmer,Thailand
Kibudu [buu-2],2.009,27.951,#5F789E,Niger-Kongo,Atlantic-Congo,Democratic Republic of the Congo
KiHaya [hay],-1.71,31.48,#9494AA,Niger-Kongo,Atlantic-Congo,Tanzania
Kikaonde [kqn],-12.41,25.76,#86457F,Niger-Kongo,Atlantic-Congo,Zambia
Kikongo [kng],-5,16.8,#8F577D,Niger-Kongo,Atlantic-Congo,Democratic Republic of the Congo
Kildin_Sami [sjd],67.67,35.9,#7B8399,Uralic,Sami,Russia
Kilenge [mgl-2],-5.592,148.39,#8588AD,Oceanic,Western Oceanic,Papua New Guinea
Kilivila [kij],-8.5,151,#7D3675,Oceanic,Western Oceanic,Papua New Guinea
Kiliwa [klb],31.33,-115.67,#617F7F,Yuman-Cochimi,Yuman,USA
Kiluba [lub],-8.5,26,#8F7D95,Niger-Kongo,Atlantic-Congo,Democratic Republic of the Congo
Kimaama [kig],-8,138.883,#7F4B90,Trans New Guinea,Kayagar-Kolopom,Indonesia-Papua
Kinga [zga],-9.36,34.23,#9CAA7C,Niger-Kongo,Atlantic-Congo,Kenya
Kinnauri Pahari [kjo],31.78,77.06,#BAA473,Indo-European,Indo-Iranian,India
KinyaRwanda [kin],-2,30,#9EA2AE,Niger-Kongo,Atlantic-Congo,Rwanda
Kiowa [kio],37,-99,#5F84A9,Kiowa-Tanoan,Kiowa,USA
