glottocode,name,isocodes,level,macroarea,latitude,longitude
mono1273,Mono-Alu,mte,language,Papunesia,-7.05102,155.76
mono1269,Mono (Cameroon),mru,language,Africa,8.78372,14.2254
mono1270,Mono (Democratic Republic of Congo),mnh,language,Africa,4.57915,19.8264
mono1268,Monom,moo,language,Eurasia,14.5948,108.348
mono1275,Mono (USA),mnr,language,North America,37.1935,-119.347
mons1234,Monsang Naga,nmh,language,Eurasia,24.5322,94.2164
mont1268,Montagnais,moe,language,North America,49.0533,-68.7376
mont1280,Montol,mtl,language,Africa,9.01778,9.65014
nucl1458,Monumbo,mxk,language,Papunesia,-4.2717,144.95
monz1249,Monzombo,moj,language,Africa,3.19008,18.5129
mooo1239,Moo,gwg,language,Africa,9.44081,11.204
moos1236,Moose Cree,crm,language,North America,51.0686,-80.6912
mopa1243,Mopán Maya,mop,language,North America,16.3533,-89.0673
mora1239,Moraid,msg,language,Papunesia,-1.04083,131.965
mora1273,Morawa,mze,language,Papunesia,-10.1321,148.671
morb1239,Mor (Bomberai Peninsula),moq,language,Papunesia,-2.85747,132.845
more1259,Morelos Nahuatl,nhm,language,North America,18.9161,-99.1322
more1262,Morerebi,xmo,language,South America,-8.66822,-61.3858
rori1237,Mores,rga,language,Papunesia,-15.4048,166.843
more1258,Moresada,msx,language,Papunesia,-4.57497,144.988
mori1269,Mori Atas,mzq,language,Papunesia,-2.2555,121.035
mori1268,Mori Bawah,xmz,language,Papunesia,-2.56016,121.37
mori1271,Morigi,mdb,language,Papunesia,-7.62961,143.88
mori1273,Morike,,language,South America,-5.634573,-73.126831
mori1278,Morisyen,mfe,language,Africa,-20.2613,57.5517
morm1235,Mor (Mor Islands),mhz,language,Papunesia,-2.87055,135.95
moro1285,Moro,mor,language,Africa,10.9194,30.2138
moro1292,Moroccan Arabic,ary,language,Africa,32.5,-7.5
moro1242,Moroccan Sign Language,xms,language,Africa,32.139,-7.69607
moro1284,Morokodo,mgc,language,Africa,5.5103,30.0229
moro1281,Morom,bdo,language,Africa,12.14611,17.64653
moro1287,Moronene,mqn,language,Papunesia,-4.62361,121.824
iwur1240,Morop-Dintere,iwo,language,Papunesia,-5.11036,140.823
moro1286,Morouas,mrp,language,Papunesia,-15.3498,166.891
mort1237,Mortlockese,mrl,language,Papunesia,7.35087,151.617
moru1253,Moru,mgd,language,Africa,5.1232,30.3287
mose1249,Mosetén-Chimané,cas,language,South America,-14.64448,-67.83756
mosi1248,Mosimo,mqv,language,Papunesia,-4.95226,145.605
mosk1236,Moskona,mtj,language,Papunesia,-1.62201,133.145
moss1236,Mossi,mos,language,Africa,10.4524,-1.17278
mota1237,Mota,mtt,language,Papunesia,-13.848538,167.694894
temb1272,Motembo-Kunda-Buja,tmv,language,Africa,2.0246,20.36849
motu1246,Motu,meu,language,Papunesia,-9.67492,147.424
mouk1239,Mouk-Aria,mwh,language,Papunesia,-5.71155,149.158
moun1252,Mountain Koiali,kpx,language,Papunesia,-9.06973,147.384
movi1243,Movima,mzp,language,South America,-13.8115,-65.6348
tang1347,Movono,tgp,language,Papunesia,-15.5643,166.958
moya1235,Moyadan Itneg,ity,language,Papunesia,17.4232,120.702
moyo1238,Moyon,nmo,language,Eurasia,24.4793,94.3421
moza1235,Mozambican Sign Language,mzy,language,Africa,-19.811,34.613
lomw1241,Mozambique Lomwe,ngl,language,Africa,-16.0381,37.2437
moza1249,Mozarabic,mxi,language,Eurasia,37.8763,-1.79724
mpad1242,Mpade,mpi,language,Africa,12.4609,14.5833
mpal1237,Mpalityan-Lutigh,,language,Australia,-12.16733589,142.4853284
mpii1239,Mpi,mpz,language,Eurasia,18.1717,100.21
mpie1238,Mpiemo,mcx,language,Africa,3.45776,15.5246
mpon1254,Mpongmpong,mgg,language,Africa,3.14015,14.866
mpot1240,Mpoto,mpa,language,Africa,-11.1377,34.7127
mpot1241,Mpotovoro,mvt,language,Papunesia,-15.8988,167.232
mpra1235,Mpra,,language,Africa,8.867,-1.25
mpur1239,Mpur,akc,language,Papunesia,-0.7489,133.166
mroc1235,Mro Chin,cmr,language,Eurasia,19.71,93.995
mruu1242,Mru,mro,language,Eurasia,24.154,90.6317
mser1242,Mser,kqx,language,Africa,11.9765,15.0373
mtir1236,Mt. Iraya Agta,atl,language,Papunesia,13.4588,123.552
mtir1235,Mt. Iriga Agta,agz,language,Papunesia,13.4566,123.463
tail1246,Muak,tlq,language,Eurasia,21.4293,100.985
mual1241,Mualang,mtd,language,Papunesia,0.31083,111.077
muan1234,Muangphe,,language,Eurasia,23.631962,105.182285
muba1238,Mubami,tsx,language,Papunesia,-7.5501,142.998
mubi1246,Mubi,mub,language,Africa,12.6893,19.5902
muda1235,Muda,ymd,language,Eurasia,21.95,100.6
mudb1240,Mudbura,mwd,language,Australia,-16.7694,132.329
mudh1235,Mudhili Gadaba,gau,language,Eurasia,18.276,83.378
mudu1242,Muduapa,wiv,language,Papunesia,-4.69751,149.489
mudu1241,Mudu Koraga,vmd,language,Eurasia,12.6224,75.1061
mufi1238,Mufian,aoj,language,Papunesia,-3.57932,142.955
mugo1238,Mugom,muk,language,Eurasia,30.8983,79.4664
muin1242,Muinane,bmr,language,South America,-0.8652,-72.4249
mukh1238,Mukha-Dora,mmk,language,Eurasia,17.4467,81.5663
muku1242,Mukulu,moz,language,Africa,11.8644,18.1822
mula1254,Mulaha,mfw,language,Papunesia,-9.68333,147.45
mula1253,Mulam,mlm,language,Eurasia,24.8151,108.928
mull1237,Mullukmulluk,mpb,language,Australia,-13.2973,130.615
mull1244,Mullu Kurumba,kpb,language,Eurasia,11.29,76.7
mulu1243,Muluridyi,vmu,language,Australia,-17.0601,145.329
mumm1238,Mum,kqa,language,Papunesia,-4.83462,145.059
nucl1240,Mumuye,mzm,language,Africa,8.90347,11.71545
muna1247,Muna,mnb,language,Papunesia,-5.40419,122.541
munc1235,Mün Chin,mwq,language,Eurasia,20.289,94.3929
mund1321,Munda,unx,language,Eurasia,25.0391,87.1792
mund1328,Mundabli,boe,language,Africa,6.59969,10.2704
mund1325,Mundang,mua,language,Africa,9.83195,14.4751
mund1327,Mundani,mnf,language,Africa,5.68073,9.91533
mund1320,Mundari,unr,language,Eurasia,25.0391,87.1792
mund1334,Mundat,mmf,language,Africa,9.15151,8.76875
mund1326,Mündü,muh,language,Africa,4.22755,29.9967
mund1330,Mundurukú,myu,language,South America,-8.41095,-57.691
mung1266,Mungaka,mhk,language,Africa,5.89752,10.0294
abar1238,Mungbam,mij,language,Africa,6.5805,10.2267
mung1269,Munggui,mth,language,Papunesia,-1.66773,135.918
mung1272,Mungkip,mpv,language,Papunesia,-6.46208,146.747
muni1258,Muniche,myr,language,South America,-5.80546,-76.2811
muni1257,Munit,mtc,language,Papunesia,-5.24329,145.548
munj1244,Munji,mnj,language,Eurasia,35.9321,70.9404
muns1251,Munsee,umu,language,North America,42.5968,-81.9166
muon1246,Muong,mtq,language,Eurasia,20.7374,105.186
mura1271,Muratayak,asx,language,Papunesia,-5.74416,146.54
mure1235,Mure,,language,South America,-13.25,-62.1
muri1259,Murik (Malaysia),mxr,language,Papunesia,3.7519,114.434
muri1260,Murik (Papua New Guinea),mtf,language,Papunesia,-3.86959,144.166
murk1238,Murkim,rmh,language,Papunesia,-4.07548,140.913
murl1244,Murle,mur,language,Africa,6.69756,33.988
murr1258,Murrinh-Patha,mwf,language,Australia,-14.74852,129.70152
murs1242,Mursi,muz,language,Africa,5.69801,36.0971
muru1274,Murui Huitoto,huu,language,South America,-1.13669,-73.8331
muru1273,Murupi,mqw,language,Papunesia,-5.0245,145.606
