name,latitude,longitude,color,family,subgroup,country
Dahalik [dlk],15.75,40.25,#3C925B,Afro-Asiatic,Semitic,Eritrea
Dai_Jinping [khb-2],22.78,103.225,#4B1478,Tai-Kadai,Kam-Tai,China
Dakpa [dka],27.38,91.5,#A0492F,Tibeto-Burman,Bodic,Bhutan
Dalabon [ngk],-14.25,134,#C197CE,Macro-Gunwinygu,Gunwingyuan proper,Australia
Dalian [cmn-4],38.91,121.61,#571471,Tibeto-Burman,Sinitic,China
Damal [uhn],-4,137.5,#9C7C28,Trans New Guinea,Western Trans New Guinea,Indonesia-Papua
Damana [mbp],10.9,-73.6,#899736,Chibchan,Core Chibchan,Colombia
Damar_West [drn],-7,128.5,#5760C0,Malayo-Polynesian,West Damar,Indonesia-Maluku-south
Dameli [dml],35.375,71.693,#AC7E30,Indo-European,Indo-Iranian,Pakistan
Dami [dad],-5.315,145.613,#AA5580,Oceanic,Western Oceanic,Papua New Guinea
Damin [xxx-7],-16.4,139.35,#DF57B7,Tangkic,Lardil,Australia
Dampelas [dms],0.2,120,#5959E1,Malayo-Polynesian,Celebic,Indonesia-Sulawesi
Dan [dnj],7.5,-8,#582E51,Mande,Eastern Mande,Côte d'Ivoire
Danau [dnu],22.333,99.333,#4F1A89,Austroasiatic,Khasi-Palaung,Myanmar
Dani [dni],-4,138.917,#939237,Trans New Guinea,Western Trans New Guinea,Indonesia-Papua
Danish [dan],56,10,#6B2A5C,Indo-European,Germanic,Denmark
Danzhou_DF [nan-6],19.71,109.275,#4C1777,Tibeto-Burman,Sinitic,China
Dapeng [hak-3],22.6,114.51,#5E1579,Tibeto-Burman,Sinitic,China
Darai [dry],27.85,84.1,#A97F32,Indo-European,Indo-Iranian,Nepal
Darfur Arabic [apd-3],13,25,#4D6FCD,Afro-Asiatic,Semitic,Sudan
Dargwa [dar],42.15,47.4,#73AE21,Nakh-Daghestanian,Lak-Dargwa,Russia
Dargwa_Icari [dar-3],41.997,47.583,#68BD25,Nakh-Daghestanian,Lak-Dargwa,Russia
Dargwa_Sanzhi [dar-4],41.978,47.565,#66C22A,Nakh-Daghestanian,Lak-Dargwa,Russia
Dari [prs],31.04,67.36,#537447,Indo-European,Indo-Iranian,Afghanistan
Darkinyung [xda],-33.57,151.31,#EC73A5,Pama-Nyungan,Yuin-Kuri,Australia
Darma [drd],29.84,80.517,#B17734,Tibeto-Burman,Western Himalayan,India
Datooga_Asimjeeg [tcc],-3.52,35.34,#408BAB,Nilo-Saharan,Eastern Sudanic,Tanzania
Dâw [kwa],-0.15,-67.05,#793C61,Nadahup,Vaupés,Brazil
Daxing_Miao [hea-2],27.88,109.29,#351494,Hmong-Mien,Hmongic,China
Dazaga [dzg],15.74,15.85,#80503D,Nilo-Saharan,Saharan,Chad
Defaka [afn],4.58,7.5,#6F3D40,Ijoid,Defaka,Nigeria
Degema [deg],4.75,6.75,#304585,Niger-Kongo,Atlantic-Congo,Nigeria
Dehong [tdd],24,98,#4B1394,Tai-Kadai,Kam-Tai,China
Dekwana [mch],4.5,-63.5,#86BC57,Cariban,Guianan Carib,Venezuela
Delaware [unm],41.5,-74.67,#63D49B,Algic,Algonquian,USA
Dena'ina [tfn],62,-150,#3CBE65,Dene-Yeniseic,Na-Dene,USA-Alaska
Dene Suline [chp],59,-106,#32B03C,Dene-Yeniseic,Na-Dene,Canada
Denjongkha [sip],27.5,88.5,#8E313C,Tibeto-Burman,Bodic,India
Desano [des],0.579,-69.067,#908C19,Tucanoan,East Tucanoan,Colombia
Dhao [nfa],-10.83,122.75,#405AC1,Malayo-Polynesian,Flores-Sawu-Sumba,Indonesia-NTT
Dharawal [tbh],-34.5,150.5,#F26B9F,Pama-Nyungan,Yuin-Kuri,Australia
Dharuk [xdk],-33.1,151.75,#F1739C,Pama-Nyungan,Yuin-Kuri,Australia
Dharumbal [bjy],-22.75,150,#F26796,Pama-Nyungan,Rockhampton,Australia
Dhimal [dhi],26.6,86.75,#A56830,Tibeto-Burman,Bodic,Nepal
Dhimba [dhm],-17.3,13.44,#3364B0,Niger-Kongo,Atlantic-Congo,Namibia
Dhivehi [div],10.6,73,#A26B29,Indo-European,Indo-Iranian,Maldives
Dhuwal [duj-2],-12.78,136.01,#E57FCD,Pama-Nyungan,Yolngu,Australia
Didayi [gaq-2],18.295,82.156,#A47C27,Austroasiatic,Munda,India
Didinga [did],4.33,33.6,#3D7DBA,Nilo-Saharan,Eastern Sudanic,South Sudan
Diegueño [dih],32.67,-116.17,#82C36B,Yuman-Cochimi,Yuman,USA
Digaru Mishmi [mhu],28.2,96.2,#9F5528,Tibeto-Burman,Digarish,India
Digo [dig],-4.62,39.18,#29679B,Niger-Kongo,Atlantic-Congo,Kenya
Dii [dur],8.07,13.882,#3B4C75,Niger-Kongo,Atlantic-Congo,Cameroon
Dilaohua Yongan Bobai [yue-3],22.329,109.717,#590774,Tibeto-Burman,Sinitic,China
Dimasa [dis],25.33,93,#A65532,Tibeto-Burman,Bodo-Garo,India
Dime [dim],6.25,36.33,#6F7C15,Afro-Asiatic,Omotic,Ethiopia
Dimili [diq],38,40,#6F722C,Indo-European,Indo-Iranian,Turkey
Dingri [bod-4],28.567,86.633,#A9522F,Tibeto-Burman,Bodic,China
Dinka [dip],8.5,28,#842A8E,Nilo-Saharan,Eastern Sudanic,South Sudan
Diola [dyo],13,-16,#4564BF,Niger-Kongo,Atlantic-Congo,Senegal
Diyari [dif],-28,139,#F57AB3,Pama-Nyungan,Karnic,Australia
Dizi [mdx],6.17,36.5,#637F1C,Afro-Asiatic,Omotic,Ethiopia
Djabugay [dyy],-16.65,145.5,#EE759C,Pama-Nyungan,Paman,Australia
Djambarrpuyngu [djr],-12,135.5,#EF6DB9,Pama-Nyungan,Yolngu,Australia
Djapu [duj],-12.667,136,#ED77C4,Pama-Nyungan,Yolngu,Australia
Djaru [ddj],-18.75,128,#F06DBB,Pama-Nyungan,Ngumbin-Yapa,Australia
Djinang [dji],-12.5,134.833,#F272A6,Pama-Nyungan,Yolngu,Australia
Djingili [jig],-17.25,133.833,#E28CC5,Mirndi,Jingulu,Australia
Dla [kbv],-3.7,141.05,#A27C3A,Trans New Guinea,Border,Papua New Guinea
Dobel [kvo],-6.083,134.5,#6077CD,Malayo-Polynesian,Southeast Maluku,Indonesia-Maluku-south
Dogon [dbu],14.5,-2.5,#916A2C,Niger-Kongo,Dogon,Mali
Dohoi [otd],-0.5,113,#5C4CC6,Malayo-Polynesian,Barito,Indonesia-Kalimantan
Dolgan [sah-2],70.11,94.29,#AE7A2F,Turkic,Common Turkic,Russia
Dolpo [dre],29,83,#B65435,Tibeto-Burman,Bodic,Nepal
Dom [doa],-6,144.917,#955151,Trans New Guinea,Chimbu-Wahgi,Papua New Guinea
Domung [dev],-5.82,146.68,#B08A57,Trans New Guinea,Morobe-Eastern Highlands,Papua New Guinea
Dong [doc],26,109,#54149A,Tai-Kadai,Kam-Tai,China
Dongolawi [doo],18,32,#939036,Nilo-Saharan,Eastern Sudanic,Sudan
Dongwang [khg],28.25,99.55,#7C3C27,Tibeto-Burman,Bodic,China
Doromu_Koki [kqc],-9.629,147.914,#A55F43,Southeast Papuan,Owen Stanley Ranges,Papua New Guinea
Doutai [tds],-3.25,138.25,#741C34,Lakes Plains,Tariku,Indonesia-Papua
Doyayo [dow],8.67,13.08,#29387E,Niger-Kongo,Atlantic-Congo,Cameroon
Drehu [dhv],-21,167.083,#6138B8,Oceanic,Southern Oceanic,New Caledonia
Drokpa [bod-5],29.05,84.5,#BE503C,Tibeto-Burman,Bodic,China
Duala [dua],4.3,9.8,#3B44B3,Niger-Kongo,Atlantic-Congo,Cameroon
Duhumbi [cvg],27.42,92.23,#AF463B,Tibeto-Burman,Kho-Bwa,India
Duka [dud],11.17,5.08,#4E3471,Niger-Kongo,Atlantic-Congo,Nigeria
Dulong [duu],28,98.333,#9A5F33,Tibeto-Burman,Nungish,China
Dumaki [dmk],36.167,74,#825C1C,Indo-European,Indo-Iranian,Pakistan
Dumi [dus],27.25,86.67,#A58939,Tibeto-Burman,Kiranti,Nepal
Dumo [vam],-2.667,141.25,#4F3169,Skou,West Skou,Papua New Guinea
Duna [duc],-5.417,142.5,#A35534,Trans New Guinea,Duna-Bogaya,Papua New Guinea
Dungan [dng],42.73,76.84,#6A2645,Tibeto-Burman,Sinitic,Kyrgystan
Dura [drq],28.5,84.25,#9E383A,Tibeto-Burman,Dura,Nepal
Duri [mvp],-3.37,119.87,#5881EB,Malayo-Polynesian,Greater South Sulawesi,Indonesia-Sulawesi
Dutch [nld],52,7,#684165,Indo-European,Germanic,Netherlands
Duungidjawu [wkw],-26.222,152.081,#EF6477,Pama-Nyungan,Central-East,Australia
Dũya [ldb-2],9.34,8.02,#176684,Niger-Kongo,Atlantic-Congo,Nigeria
Dyirbal [dbl],-17.583,145.5,#EE73A2,Pama-Nyungan,Dyirbalic,Australia
Dyula [dyu],10.45,-4.72,#6D364F,Mande,Western Mande,Burkina Faso
Dzala [dzl],27,91.5,#AA452F,Tibeto-Burman,Bodic,Bhutan
Dzongkha [dzo],27.5,89.5,#9F4333,Tibeto-Burman,Bodic,Bhutan
Dzuungoo [dnn],11.38,-4.92,#712A61,Mande,Western Mande,Burkina Faso
E [eee],25.05,109.25,#560C87,Tai-Kadai,Kam-Tai,China
Eastern Lawa [lwl],19.01,98.76,#501CB8,Austroasiatic,Khasi-Palaung,Thailand
Eastern Ojibwe [ojg-2],44.7,-79.3,#5BDEA0,Algic,Algonquian,Canada
Ebira [igb-2],8.16,7.06,#3D3B9F,Niger-Kongo,Atlantic-Congo,Nigeria
Ebrie [igb],5.3,-4,#542E8D,Niger-Kongo,Atlantic-Congo,Côte d'Ivoire
Edolo [etr],-6.083,142.667,#A17126,Trans New Guinea,Bosavi,Papua New Guinea
Efik [efi],4.92,8.5,#363B7E,Niger-Kongo,Atlantic-Congo,Nigeria
Ega [ega],5.5,-5.5,#3C3071,Niger-Kongo,Atlantic-Congo,Côte d'Ivoire
Ejagham [etu],5.6,9,#414087,Niger-Kongo,Atlantic-Congo,Cameroon
Ekagi [ekg],-3.917,136.25,#AC7647,Trans New Guinea,Western Trans New Guinea,Indonesia-Papua
Ekoka !Kung [knw],-19.25,17.7,#481991,Kx'aa,Ju-Kung,Namibia
Elopi [dbf],-3.083,137.333,#652548,Lakes Plains,Tariku,Indonesia-Papua
Emae [mmw],-17.033,168.167,#673FC3,Oceanic,Central Pacific,Vanuatu
Emai [ema],7,5.9,#35338E,Niger-Kongo,Atlantic-Congo,Nigeria
Embaloh [emb],1.1628,112.37,#6070ED,Malayo-Polynesian,Greater South Sulawesi,Indonesia-Kalimantan
Embera_Baudo [bdc],5.2,-76.8,#8E7B32,Chocoan,Emberá,Colombia
Embera_Chamí [cmi],4.88,-76.07,#9C872B,Chocoan,Emberá,Colombia
Embera_Northern [emp],7.13,-77.57,#A0722F,Chocoan,Emberá,Colombia
